IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen,Malicious
17,10.215.173.1,7886,10.215.173.2,53,10713,LTE Discovery,net.simplyadvanced.ltediscovery,DNS,Closed,ltediscovery.app,62,89,1,1,2025-07-28T05:52:53.368-05:00,2025-07-28T05:52:53.672-05:00,
17,10.215.173.1,43216,10.215.173.2,53,10713,LTE Discovery,net.simplyadvanced.ltediscovery,DNS,Closed,securetoken.googleapis.com,144,163,2,1,2025-07-28T05:52:53.372-05:00,2025-07-28T05:52:56.430-05:00,
6,10.215.173.1,55822,194.242.2.2,443,10414,InviZible Pro,pan.alexander.tordnscrypt.gp,HTTPS,Closed,dns.mullvad.net,1756,6200,18,19,2025-07-28T05:52:53.379-05:00,2025-07-28T05:53:07.126-05:00,
17,10.215.173.1,2317,10.215.173.2,53,10713,LTE Discovery,net.simplyadvanced.ltediscovery,DNS,Closed,www.google.com,60,87,1,1,2025-07-28T05:52:53.384-05:00,2025-07-28T05:52:53.828-05:00,
6,10.215.173.1,38106,142.250.74.142,443,10713,LTE Discovery,net.simplyadvanced.ltediscovery,HTTPS,Closed,clients4.google.com,2495,17074,11,10,2025-07-28T05:52:53.386-05:00,2025-07-28T05:52:54.613-05:00,
6,10.215.173.1,38108,142.250.74.142,443,10713,LTE Discovery,net.simplyadvanced.ltediscovery,HTTPS,Closed,clients4.google.com,3150,17685,14,18,2025-07-28T05:52:53.389-05:00,2025-07-28T05:52:54.752-05:00,
6,10.215.173.1,35338,95.215.19.53,443,10414,InviZible Pro,pan.alexander.tordnscrypt.gp,HTTPS,Closed,dns.njal.la,1199,4580,13,13,2025-07-28T05:52:53.395-05:00,2025-07-28T05:53:23.838-05:00,
17,10.215.173.1,6826,10.215.173.2,53,10713,LTE Discovery,net.simplyadvanced.ltediscovery,DNS,Closed,firebaseremoteconfig.googleapis.com,81,172,1,1,2025-07-28T05:52:53.456-05:00,2025-07-28T05:52:53.671-05:00,
6,10.215.173.1,55834,194.242.2.2,443,10414,InviZible Pro,pan.alexander.tordnscrypt.gp,HTTPS,Closed,dns.mullvad.net,545,2955,6,6,2025-07-28T05:52:53.459-05:00,2025-07-28T05:52:53.714-05:00,
6,10.215.173.1,56480,172.217.165.10,443,10713,LTE Discovery,net.simplyadvanced.ltediscovery,HTTPS,Closed,firebaseremoteconfig.googleapis.com,2688,6082,9,8,2025-07-28T05:52:53.673-05:00,2025-07-28T05:52:54.303-05:00,
6,10.215.173.1,56490,172.217.165.10,443,10713,LTE Discovery,net.simplyadvanced.ltediscovery,HTTPS,Closed,firebaseremoteconfig.googleapis.com,2688,6510,9,10,2025-07-28T05:52:53.675-05:00,2025-07-28T05:52:54.652-05:00,
6,10.215.173.1,42474,146.190.196.124,443,10713,LTE Discovery,net.simplyadvanced.ltediscovery,TLS,Closed,ltediscovery.app,753,3393,8,8,2025-07-28T05:52:53.680-05:00,2025-07-28T05:52:53.870-05:00,
6,10.215.173.1,42488,146.190.196.124,443,10713,LTE Discovery,net.simplyadvanced.ltediscovery,TLS,Closed,ltediscovery.app,1115,4284,11,13,2025-07-28T05:52:53.682-05:00,2025-07-28T05:53:56.215-05:00,
6,10.215.173.1,48012,142.250.74.68,443,10713,LTE Discovery,net.simplyadvanced.ltediscovery,HTTPS,Closed,www.google.com,2968,8315,12,14,2025-07-28T05:52:53.830-05:00,2025-07-28T05:53:56.218-05:00,
6,10.215.173.1,48024,142.250.74.68,443,10713,LTE Discovery,net.simplyadvanced.ltediscovery,HTTPS,Closed,www.google.com,2306,7121,13,13,2025-07-28T05:52:53.833-05:00,2025-07-28T05:52:54.615-05:00,
6,10.215.173.1,48030,142.250.74.68,443,10713,LTE Discovery,net.simplyadvanced.ltediscovery,HTTPS,Closed,www.google.com,2999,8345,12,15,2025-07-28T05:52:53.834-05:00,2025-07-28T05:52:54.763-05:00,
6,10.215.173.1,48044,142.250.74.68,443,10713,LTE Discovery,net.simplyadvanced.ltediscovery,HTTPS,Closed,www.google.com,3081,8343,14,15,2025-07-28T05:52:53.836-05:00,2025-07-28T05:52:54.658-05:00,
6,10.215.173.1,48046,142.250.74.68,443,10713,LTE Discovery,net.simplyadvanced.ltediscovery,HTTPS,Closed,www.google.com,3045,21005,14,19,2025-07-28T05:52:53.838-05:00,2025-07-28T05:53:56.219-05:00,
6,10.215.173.1,48050,142.250.74.68,443,10713,LTE Discovery,net.simplyadvanced.ltediscovery,HTTPS,Closed,www.google.com,3044,8346,13,15,2025-07-28T05:52:53.840-05:00,2025-07-28T05:52:54.788-05:00,
6,10.215.173.1,48056,142.250.74.68,443,10713,LTE Discovery,net.simplyadvanced.ltediscovery,HTTPS,Closed,www.google.com,2232,7090,11,12,2025-07-28T05:52:53.842-05:00,2025-07-28T05:52:54.762-05:00,
6,10.215.173.1,48070,142.250.74.68,443,10713,LTE Discovery,net.simplyadvanced.ltediscovery,HTTPS,Closed,www.google.com,3035,8305,13,14,2025-07-28T05:52:53.844-05:00,2025-07-28T05:52:56.697-05:00,
6,10.215.173.1,48074,142.250.74.68,443,10713,LTE Discovery,net.simplyadvanced.ltediscovery,HTTPS,Closed,www.google.com,2968,8309,12,14,2025-07-28T05:52:53.846-05:00,2025-07-28T05:53:56.219-05:00,
6,10.215.173.1,48082,142.250.74.68,443,10713,LTE Discovery,net.simplyadvanced.ltediscovery,HTTPS,Closed,www.google.com,2271,23986,13,18,2025-07-28T05:52:53.981-05:00,2025-07-28T05:53:56.219-05:00,
6,10.215.173.1,35188,142.251.32.78,443,10256,Google Play Store,com.android.vending,HTTPS,Closed,play-fe.googleapis.com,2086,2010,6,5,2025-07-28T05:52:54.869-05:00,2025-07-28T05:52:55.333-05:00,
6,10.215.173.1,35194,142.251.32.78,443,10256,Google Play Store,com.android.vending,HTTPS,Closed,play-fe.googleapis.com,2054,2050,6,6,2025-07-28T05:52:55.119-05:00,2025-07-28T05:52:55.345-05:00,
6,10.215.173.1,35202,142.251.32.78,443,10449,PCAPdroid mitm,com.pcapdroid.mitm,HTTPS,Closed,play-fe.googleapis.com,838,5566,10,10,2025-07-28T05:52:55.155-05:00,2025-07-28T05:52:55.361-05:00,
6,10.215.173.1,35214,142.251.32.78,443,10449,PCAPdroid mitm,com.pcapdroid.mitm,HTTPS,Closed,play-fe.googleapis.com,838,5565,10,10,2025-07-28T05:52:55.158-05:00,2025-07-28T05:52:55.385-05:00,
6,10.215.173.1,33740,142.251.32.74,443,10713,LTE Discovery,net.simplyadvanced.ltediscovery,TLS,Closed,firestore.googleapis.com,4467,6813,24,24,2025-07-28T05:52:55.936-05:00,2025-07-28T05:55:01.803-05:00,
6,10.215.173.1,33944,142.251.41.42,443,10713,LTE Discovery,net.simplyadvanced.ltediscovery,HTTPS,Closed,securetoken.googleapis.com,3201,10187,13,15,2025-07-28T05:52:56.435-05:00,2025-07-28T05:53:56.220-05:00,
17,10.215.173.1,22370,10.215.173.2,53,10713,LTE Discovery,net.simplyadvanced.ltediscovery,DNS,Closed,firebaselogging-pa.googleapis.com,79,170,1,1,2025-07-28T05:53:58.750-05:00,2025-07-28T05:53:58.928-05:00,
6,10.215.173.1,39400,194.242.2.2,443,10414,InviZible Pro,pan.alexander.tordnscrypt.gp,HTTPS,Closed,dns.mullvad.net,1109,4380,11,13,2025-07-28T05:53:58.758-05:00,2025-07-28T05:54:09.394-05:00,
6,10.215.173.1,49042,142.251.33.170,443,10713,LTE Discovery,net.simplyadvanced.ltediscovery,HTTPS,Closed,firebaselogging-pa.googleapis.com,2053,5919,10,10,2025-07-28T05:53:58.936-05:00,2025-07-28T05:55:01.805-05:00,
6,10.215.173.1,43332,64.233.180.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,807,4120,6,5,2025-07-28T05:54:12.036-05:00,2025-07-28T05:54:12.194-05:00,
6,10.215.173.1,43338,64.233.180.188,5228,10449,PCAPdroid mitm,com.pcapdroid.mitm,TLS,Closed,mtalk.google.com,694,6912,7,7,2025-07-28T05:54:12.047-05:00,2025-07-28T05:55:12.039-05:00,
6,10.215.173.1,39540,142.251.32.74,443,10713,LTE Discovery,net.simplyadvanced.ltediscovery,TLS,Closed,firestore.googleapis.com,974,591,7,8,2025-07-28T05:55:01.822-05:00,2025-07-28T05:56:02.381-05:00,
6,10.215.173.1,39340,142.251.32.74,443,10713,LTE Discovery,net.simplyadvanced.ltediscovery,TLS,Closed,firestore.googleapis.com,974,591,7,8,2025-07-28T05:56:02.401-05:00,2025-07-28T05:57:02.964-05:00,
6,10.215.173.1,54004,142.251.32.78,443,10256,Google Play Store,com.android.vending,HTTPS,Closed,play-fe.googleapis.com,2086,2050,6,6,2025-07-28T05:56:59.472-05:00,2025-07-28T05:56:59.880-05:00,
6,10.215.173.1,54012,142.251.32.78,443,10449,PCAPdroid mitm,com.pcapdroid.mitm,HTTPS,Closed,play-fe.googleapis.com,798,5525,9,9,2025-07-28T05:56:59.490-05:00,2025-07-28T05:56:59.895-05:00,
6,10.215.173.1,54026,142.251.32.78,443,10256,Google Play Store,com.android.vending,HTTPS,Closed,play-fe.googleapis.com,2054,2050,6,6,2025-07-28T05:56:59.718-05:00,2025-07-28T05:56:59.916-05:00,
6,10.215.173.1,54034,142.251.32.78,443,10449,PCAPdroid mitm,com.pcapdroid.mitm,HTTPS,Closed,play-fe.googleapis.com,758,5485,8,8,2025-07-28T05:56:59.729-05:00,2025-07-28T05:56:59.958-05:00,
6,10.215.173.1,48056,142.251.32.74,443,10713,LTE Discovery,net.simplyadvanced.ltediscovery,TLS,Closed,firestore.googleapis.com,974,591,7,8,2025-07-28T05:57:02.982-05:00,2025-07-28T05:58:03.312-05:00,
6,10.215.173.1,48740,142.251.32.74,443,10713,LTE Discovery,net.simplyadvanced.ltediscovery,TLS,Closed,firestore.googleapis.com,1014,591,8,8,2025-07-28T05:58:03.320-05:00,2025-07-28T05:58:11.116-05:00,
17,10.215.173.1,41887,10.215.173.2,53,10351,Brave,com.brave.browser,DNS,Closed,chrome.cloudflare-dns.com,71,114,1,1,2025-07-28T05:58:29.914-05:00,2025-07-28T05:58:30.385-05:00,
17,10.215.173.1,38667,10.215.173.2,53,10351,Brave,com.brave.browser,DNS,Closed,chrome.cloudflare-dns.com,71,243,1,1,2025-07-28T05:58:29.917-05:00,2025-07-28T05:58:30.081-05:00,
6,10.215.173.1,57378,116.202.176.26,443,10414,InviZible Pro,pan.alexander.tordnscrypt.gp,HTTPS,Closed,doh.libredns.gr,1842,6558,18,15,2025-07-28T05:58:29.919-05:00,2025-07-28T05:59:00.394-05:00,
6,10.215.173.1,42046,194.242.2.2,443,10414,InviZible Pro,pan.alexander.tordnscrypt.gp,HTTPS,Closed,dns.mullvad.net,1190,4420,13,14,2025-07-28T05:58:29.921-05:00,2025-07-28T05:58:40.556-05:00,
17,10.215.173.1,43254,10.215.173.2,53,10351,Brave,com.brave.browser,DNS,Closed,chrome.cloudflare-dns.com,71,114,1,1,2025-07-28T05:58:29.956-05:00,2025-07-28T05:58:30.386-05:00,
17,10.215.173.1,62519,10.215.173.2,53,10351,Brave,com.brave.browser,DNS,Closed,chrome.cloudflare-dns.com,71,155,1,1,2025-07-28T05:58:29.959-05:00,2025-07-28T05:58:30.386-05:00,
6,10.215.173.1,57380,116.202.176.26,443,10414,InviZible Pro,pan.alexander.tordnscrypt.gp,HTTPS,Closed,doh.libredns.gr,769,3475,9,8,2025-07-28T05:58:29.960-05:00,2025-07-28T05:58:30.267-05:00,
6,10.215.173.1,57386,116.202.176.26,443,10414,InviZible Pro,pan.alexander.tordnscrypt.gp,HTTPS,Closed,doh.libredns.gr,689,3355,7,5,2025-07-28T05:58:29.962-05:00,2025-07-28T05:58:30.278-05:00,
6,10.215.173.1,55524,172.64.41.3,443,10351,Brave,com.brave.browser,HTTP,Closed,chrome.cloudflare-dns.com,3838,5002,21,13,2025-07-28T05:58:30.390-05:00,2025-07-28T05:58:30.759-05:00,
6,10.215.173.1,55540,172.64.41.3,443,10351,Brave,com.brave.browser,HTTPS,Closed,chrome.cloudflare-dns.com,1987,1640,5,5,2025-07-28T05:58:30.395-05:00,2025-07-28T05:58:30.496-05:00,
6,10.215.173.1,55550,172.64.41.3,443,10449,PCAPdroid mitm,com.pcapdroid.mitm,HTTPS,Closed,chrome.cloudflare-dns.com,2430,6222,21,23,2025-07-28T05:58:30.397-05:00,2025-07-28T05:58:30.792-05:00,
6,10.215.173.1,55566,172.64.41.3,443,10351,Brave,com.brave.browser,TLS,Closed,chrome.cloudflare-dns.com,1947,168,4,4,2025-07-28T05:58:30.399-05:00,2025-07-28T05:58:30.568-05:00,
6,10.215.173.1,55580,172.64.41.3,443,10351,Brave,com.brave.browser,TLS,Closed,chrome.cloudflare-dns.com,1947,168,4,4,2025-07-28T05:58:30.400-05:00,2025-07-28T05:58:30.568-05:00,
6,10.215.173.1,52324,162.159.61.3,443,10351,Brave,com.brave.browser,HTTPS,Closed,chrome.cloudflare-dns.com,1987,1640,5,5,2025-07-28T05:58:30.402-05:00,2025-07-28T05:58:30.552-05:00,
6,10.215.173.1,52336,162.159.61.3,443,10351,Brave,com.brave.browser,HTTPS,Closed,chrome.cloudflare-dns.com,1955,1640,5,5,2025-07-28T05:58:30.404-05:00,2025-07-28T05:58:30.558-05:00,
6,10.215.173.1,52340,162.159.61.3,443,10351,Brave,com.brave.browser,HTTP,Closed,chrome.cloudflare-dns.com,5224,8186,34,34,2025-07-28T05:58:30.407-05:00,2025-07-28T05:58:30.766-05:00,
6,10.215.173.1,52342,162.159.61.3,443,10351,Brave,com.brave.browser,HTTPS,Closed,chrome.cloudflare-dns.com,2019,1640,5,5,2025-07-28T05:58:30.409-05:00,2025-07-28T05:58:30.564-05:00,
6,10.215.173.1,52358,162.159.61.3,443,10351,Brave,com.brave.browser,HTTPS,Closed,chrome.cloudflare-dns.com,2051,1640,5,5,2025-07-28T05:58:30.411-05:00,2025-07-28T05:58:30.579-05:00,
6,10.215.173.1,52366,162.159.61.3,443,10351,Brave,com.brave.browser,TLS,Closed,chrome.cloudflare-dns.com,2011,168,4,4,2025-07-28T05:58:30.413-05:00,2025-07-28T05:58:30.612-05:00,
6,10.215.173.1,55588,172.64.41.3,443,10449,PCAPdroid mitm,com.pcapdroid.mitm,HTTPS,Closed,chrome.cloudflare-dns.com,761,3285,8,8,2025-07-28T05:58:30.419-05:00,2025-07-28T05:58:30.613-05:00,
6,10.215.173.1,55598,172.64.41.3,443,10449,PCAPdroid mitm,com.pcapdroid.mitm,HTTPS,Closed,chrome.cloudflare-dns.com,761,3286,8,8,2025-07-28T05:58:30.421-05:00,2025-07-28T05:58:30.613-05:00,
